Faded Heart,BORNS,7ghXLHZjZtZiiQhFfhyeY4
Sweet Dreams,BORNS,0lgScP4Sc9teQbV8TBJac6
We Don't Care,BORNS,0L8xGRGBIEAUOyzvdPNCRg
Man,BORNS,0kKQP6tgveOCLELSVqKoM9
Iceberg,BORNS,1gPUCQ9slKaJQbo6swaH8q
Second Night Of Summer,BORNS,6Ov2pt0TfDeSdNHfdlcKpq
I Don't Want U Back,BORNS,33KdjUuILigAedfZLLvyQQ
Tension (Interlude),BORNS,7gK3ZIHPMAkXJ05YMQGbL4
Supernatural,BORNS,3uhvGR0pcdmAx2ZIJkNMeP
Blue Madonna,BORNS,4JEhFF1J95HoXuuXkyxMyS
Bye-bye Darling,BORNS,0G4pUsKa2CbhpyBlM5QPXK
Dug My Heart,BORNS,2IDaot6HBRmqldvBjCp0iA
Electric Love,BORNS,2GiJYvgVaD2HtM8GqD9EgQ
American Money,BORNS,4AewKenHXKBt643p473xCk
The Emotion,BORNS,03YZnK3XQWKpvo9TyNZzXf
Holy Ghost,BORNS,5ho74ZlMvEbyhFutCd8SGg
Past Lives,BORNS,1Dr5JexwA15wmKe7Y7maA9
Clouds,BORNS,03v70ZBxmcPX3RWAZMzqaW
Dopamine,BORNS,62ZXL1CWLJDiDWUZUhfLfU
Overnight Sensation,BORNS,35GS3Vh3ouARXMpsmZeXJy
Fool,BORNS,1huRm0I1QxVb1pJziyCSRh
Love,Lana Del Rey,2Kerz9H9IejzeIpjhDJoYG
Lust For Life (with The Weeknd),Lana Del Rey,0mt02gJ425Xjm7c3jYkOBn
Cherry,Lana Del Rey,1Ym6aMuT5bliaZMC67AmPp
White Mustang,Lana Del Rey,6eygbzyL6hY8jFQTARDuo9
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,5QqyRUZeBE04yJxsD1OC0I
Groupie Love (feat. A$AP Rocky),Lana Del Rey,03hqMhmCZiNKMSPmVabPLP
In My Feelings,Lana Del Rey,269xqcgGTN9PlivhUkOLhX
Coachella - Woodstock In My Mind,Lana Del Rey,5UPHeuDP0AnG830Yf3bJJD
God Bless America - And All The Beautiful Women In It,Lana Del Rey,7nns9KjsadA1Cx7as2eGNG
When The World Was At War We Kept Dancing,Lana Del Rey,0dssTLrqY79Klk6jx2RXCj
